SalePrice,id,lasso_preds,xgb_preds
491802.25456794555,144,487189.20295420795,502566.03
525518.4983716048,201,515502.76553086407,548888.5
667519.6854173392,362,669597.9211319131,662670.44
561980.4791313321,367,546088.005901903,599062.9
968049.4341713809,466,1038595.7764948299,803441.25
725234.47002609,524,711201.7652158429,757977.44
867567.1417285623,613,868225.3140765176,866031.4
932009.2899930077,616,980238.1151685824,819475.3
885876.7569156907,646,901233.2464867011,850044.94
821247.2796137462,650,843635.0646267803,769009.06
975233.2381750365,729,986321.9027500523,949359.7
838254.9417192286,781,833594.4479917552,849129.4
919669.2692788782,806,919469.5811126833,920135.1
986163.5949572213,824,1017755.5820817448,912448.9
1000035.0041969492,828,980754.3809956418,1045023.06
1028031.8844452415,882,1028509.7456360593,1026916.8
876776.5248612083,888,855554.4105160119,926294.75
911782.2257776345,890,898648.2243251923,942428.2
924927.5491706833,893,911085.5613152619,957225.44
852485.5478765776,938,812112.6576808252,946688.94
1058216.375957225,940,1053063.929938893,1070238.8
973483.0961880796,969,976920.2713401137,965462.94
949509.0940470797,971,955700.6700672567,935062.0
1057890.0230691168,999,1051228.2472415953,1073434.1
976372.3262372101,1001,953471.7160531573,1029807.0
1350058.7733283998,1033,1412494.0065405713,1204376.5
1139481.2622990604,1034,1151711.2675700865,1110944.5
1145552.246250916,1046,1130873.8785727373,1179801.8
1166313.7667686944,1047,1170792.7025267065,1155862.9
1160198.440287635,1058,1163157.4146966215,1153294.1
1048527.4819391972,1059,1052071.4474131388,1040258.2
1060550.3953805538,1060,1037351.0112579338,1114682.2
1034728.0071321995,1061,1020032.8226888565,1069016.8
1027443.0691868033,1063,1014963.8488382904,1056561.2
1232979.88749475,1100,1233349.6160639287,1232117.1
959822.6442186557,1102,939332.9738837939,1007631.8
1108518.987568052,1103,1085358.95545436,1162559.0
1246163.7058269554,1111,1239637.615467079,1261391.2
1421838.1078806221,1116,1446633.18982946,1363982.9
1125685.2850030102,1129,1110978.1750043002,1160001.9
1292933.3855575826,1135,1315463.6311536895,1240362.8
1420010.7947981728,1136,1462535.5550688184,1320786.2
1111558.6726778054,1157,1075974.6216825792,1194588.1
1155793.4487783802,1175,1162896.8911119718,1139218.8
